"","ioname","orgname","year","russia","china","afghanistan","georgia","iran","india","kazakhstan","kyrgyzstan","tajikistan","turkmenistan","uzbekistan","usa","pakistan"
"1197","AOPU","Asian-Oceanic Postal Union",2005,0,1,1,0,1,1,0,0,0,0,0,0,1
"1342","APIBD","Asia-Pac Instit. for Broadcast Develop.",2005,0,1,1,0,1,1,0,0,0,0,0,0,1
"1426","APT","Asian-Pacific Telecommunity",2005,0,1,1,0,1,1,0,0,0,0,0,0,1
"1460","ARC","Asian Reinsurance Corp.",2005,0,1,1,0,1,1,0,0,0,0,0,0,0
"2024","AralSea","Int'l Fund for Saving Aral Sea",2005,0,0,0,0,0,0,1,1,1,1,1,0,0
"2074","AsDB","Asian Dev. Bank",2005,0,1,1,0,0,1,1,1,1,0,1,1,1
"2328","BIPM","International Bureau of Weights & Measures",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"2584","CAECC","Central Asian Economic Community",2005,0,0,0,0,0,0,1,1,1,0,1,0,0
"3238","CFC","Common Fund for Commodities",2005,1,1,1,0,0,1,0,0,0,0,0,0,1
"3247","CICA","Conference on Interaction and Confidence-Building Measures in Asia",2005,1,1,1,0,1,1,1,1,1,0,1,0,1
"3278","CIS","Commonwealth of Independent States",2005,1,0,0,1,0,0,1,1,1,1,1,0,0
"3403","COE","Council of Europe",2005,1,0,0,1,0,0,0,0,0,0,0,0,0
"3447","COLOMBO","Council for Tech Coop in S & SE Asia",2005,0,0,1,0,1,1,0,0,0,0,0,1,1
"3974","EAPO","Eurasian Patent Org.",2005,1,0,0,0,0,0,1,1,1,1,0,0,0
"3990","EBRD","European Bank for Reconstruction & Development",2005,1,0,0,1,0,0,1,1,1,1,1,1,0
"4125","ECO","Economic Cooperation Organization",2005,0,0,1,0,1,0,1,1,1,1,1,0,1
"4527","EMPPO","Euro & Med Plant Protect Org",2005,1,0,0,0,0,0,1,1,0,0,1,0,0
"4954","FAO","Food & Ag Org",2005,0,1,1,1,1,1,1,1,1,1,0,1,1
"4992","G15","Group of 15",2005,0,0,0,0,1,1,0,0,0,0,0,0,0
"5026","G24","Group of 24",2005,0,0,0,0,1,1,0,0,0,0,0,0,1
"5561","IAEA","Intl Atomic Energy Agency",2005,1,1,1,1,1,1,1,1,0,0,1,1,1
"6039","ICAC","Intl Cotton Adv Comte",2005,1,0,0,0,1,1,0,0,0,0,1,1,1
"6144","ICC","International Criminal Court",2005,0,0,1,1,0,0,0,0,1,0,0,0,0
"6485","ICMMP","Intl Comte of Military Medicine & Pharmacy",2005,1,1,1,0,0,1,0,0,0,0,0,1,1
"6797","ICivDO","Int'l Civil Defence Org.",2005,1,1,0,1,0,0,1,0,0,0,0,0,1
"6903","IEXB","Intl Exhib Bureau",2005,1,1,0,0,1,0,1,1,0,0,1,0,0
"6935","IFAD","Int Fund for Agriculture & Development",2005,0,1,1,1,1,1,1,1,1,0,0,1,1
"7047","IGC","Intl Grains Council",2005,1,0,0,0,1,1,1,0,0,0,0,1,1
"7108","IHO","Intl Hydrographic Org",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"7176","IIF","Intl Instit of Refrigeration",2005,1,1,0,0,0,1,0,0,0,0,1,1,1
"7399","IMO","Intl Maritime Org",2005,1,1,0,1,1,1,1,0,0,1,0,1,1
"7426","IMSO","Int'l Mobile Satellite Org.",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"7496","INFOFISH","InfoFish",2005,0,0,0,0,1,1,0,0,0,0,0,0,1
"7639","INTERPOL","Intl Criminal Police Comm",2005,1,1,0,1,1,1,1,1,0,0,1,1,1
"7789","IOLM","Intl Org Legal Metrology",2005,1,1,0,0,0,1,1,0,0,0,0,1,1
"7833","IOMig","Intl Org for Migration",2005,0,0,1,1,1,0,1,1,1,0,0,1,1
"7907","IOPCF","Int'l Oil Pollution Compens. Funds",2005,1,0,0,1,0,1,0,0,0,0,0,0,0
"7958","IOcC","Intergov. Oceanographic Comm.",2005,1,1,1,1,1,1,1,0,0,0,0,1,1
"8005","IPGRI","Int'l Plant Genetic Resource Instit.",2005,1,1,0,0,1,1,0,0,0,0,0,0,1
"8219","ISB","Interstate Bank",2005,1,0,0,0,0,0,1,1,1,1,1,0,0
"8251","ISDB","Islamic Dev. Bank",2005,0,0,1,0,1,0,0,1,0,1,0,0,1
"8459","ITVRC","Intgvt TV & Radio Corp",2005,1,0,0,1,0,0,1,1,1,0,1,0,0
"8520","IUPCT","Intl Union Publication of Customs Tariffs",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"8578","IUPIP","Intl Union for Protection of Industrial Prop",2005,1,1,0,1,1,1,1,1,1,1,1,1,1
"8635","IUPLAW","Intl Union for Protection of Lit & Art Works",2005,1,1,0,1,0,1,1,1,1,0,1,1,1
"8677","IUPNVP","Union for Protection of New Varieties of Plants",2005,1,1,0,0,0,0,0,1,0,0,1,1,0
"8911","JINR","Joint Instit for Nuke Research",2005,1,0,0,1,0,0,1,0,0,0,1,0,0
"9429","MIGA","Multilateral Investment Guarantee Agency",2005,1,1,0,1,0,1,1,1,0,1,1,1,1
"10328","OCR","Org for the Collaboration of Railways",2005,1,1,0,0,1,0,1,1,1,1,1,0,0
"10448","OIC","Org. Islamic Conference",2005,0,0,1,0,1,0,1,1,1,1,1,0,1
"10586","OSCE","Org. Security Cooperation Europe",2005,1,0,0,1,0,0,1,1,1,1,1,1,0
"10865","PCA","Permanent Court of Arbitration",2005,1,1,0,0,1,1,0,1,0,0,0,1,1
"10989","PIARC","World Road Assn",2005,1,1,0,0,1,1,0,0,0,0,1,1,1
"11279","RCC","Reg Commonwealth in the Field of Comm",2005,1,0,0,1,0,0,1,1,1,1,1,0,0
"11416","SACEP","S. Asia Coop. Environment Prog.",2005,0,0,1,0,0,1,0,0,0,0,0,0,1
"11932","Turksoy","Joint Admin. of Turkish Culture & Arts",2005,0,0,0,0,0,0,1,1,0,1,1,0,0
"12199","UNDROIT","Intl Instit for Unification of Private Law",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"12244","UNESCO","UN Education, Scientific, & Cultural Org",2005,1,1,1,1,1,1,1,1,1,1,1,0,1
"12284","UNIDO","UN Industrial Development Org",2005,1,1,1,1,1,1,1,1,1,1,1,0,1
"12581","WCO","World Customs Org",2005,1,1,0,1,1,1,1,1,1,1,1,1,1
"12710","WIPO","World Intell Prop Org",2005,1,1,1,1,0,1,1,1,1,1,1,1,1
"12846","WTOURO","World Tourism Org.",2005,1,1,1,1,1,1,1,1,0,1,1,0,1
