75,53,22,36,35,48,40,36,28,28,38,53,42
53,71,29,30,41,63,33,32,24,23,30,50,53
22,29,36,23,30,31,26,26,24,21,22,22,34
36,30,23,42,25,31,35,32,28,26,29,28,32
35,41,30,25,53,47,31,30,24,24,27,33,49
48,63,31,31,47,81,31,29,23,22,28,52,64
40,33,26,35,31,31,49,43,36,33,40,30,35
36,32,26,32,30,29,43,47,36,33,40,29,33
28,24,24,28,24,23,36,36,37,29,32,23,26
28,23,21,26,24,22,33,33,29,34,30,21,25
38,30,22,29,27,28,40,40,32,30,44,27,30
53,50,22,28,33,52,30,29,23,21,27,67,42
42,53,34,32,49,64,35,33,26,25,30,42,69
